id;code;name;description;document_category;is_mandatory;requires_renewal;default_validity_days;is_active;sort_order;alert_days_before_expiry;created_at;updated_at;template_file;instructions
004cbf8c73164c33820f559f40e37671;RC_OPER;"Assicurazione RC Operativa";"Polizza assicurativa responsabilità civile operativa";INSURANCE;1;1;365;1;100;60;"2025-11-04 18:49:57.252489";"2025-11-04 18:49:57.252507";;NULL
0b54bacb4bc14ace852fb79151e7a814;ISO_45001;"Certificazione ISO 45001";"Certificazione sistema gestione salute e sicurezza ISO 45001";CERTIFICATION;0;1;1095;1;100;90;"2025-11-04 18:49:57.312173";"2025-11-04 18:49:57.312191";;NULL
1dfe547fe029449a8842b3f740ce2991;REF_TÈCN;"Referenze Tecniche";"Referenze di lavori simili eseguiti";TECHNICAL;0;1;730;1;100;60;"2025-11-04 18:49:57.329073";"2025-11-04 18:49:57.329091";;NULL
1feeb76be3e74b4e82edfadae6c91a91;RC_PROF;"Assicurazione RC Professionale";"Polizza assicurativa responsabilità civile professionale";INSURANCE;1;1;365;1;100;60;"2025-11-04 18:49:57.244617";"2025-11-04 18:49:57.244633";;NULL
206631f84d0c4a85978e8c6368de9ded;CERT_PREF;"Certificato Prefettura Antimafia";"Certificazione antimafia rilasciata dalla Prefettura";LEGAL;1;1;180;1;100;45;"2025-11-04 18:49:57.196247";"2025-11-04 18:49:57.196268";;NULL
29210bd21a4041be999b0b7af011aecc;BILAN_ULT;"Bilancio Ultimo Esercizio";"Bilancio dell'ultimo esercizio fiscale";FINANCIAL;1;1;365;1;100;60;"2025-11-04 18:49:57.230902";"2025-11-04 18:49:57.230918";;NULL
36c6a85af14d478883fc11a6f6fad433;DVR;"Documento di Valutazione dei Rischi (DVR)";"Documento di valutazione dei rischi secondo D.Lgs 81/2008";SAFETY;1;1;365;1;100;60;"2025-11-04 18:49:57.266945";"2025-11-04 18:49:57.266960";;NULL
3e35f4bbf39842d6a57c239ace4e4de8;POS;"Piano Operativo di Sicurezza (POS)";"Piano operativo di sicurezza per cantieri";SAFETY;0;1;365;1;100;45;"2025-11-04 18:49:57.281533";"2025-11-04 18:49:57.281553";;NULL
45ede6de9ac247508da111b8eb1f3b1b;SA8000-QUEST;"SA8000 - Questionario";"QUESTIONARIO DI AUTOVALUTAZIONE";CERTIFICATION;0;1;NULL;1;100;30;"2025-11-06 15:12:33.688068";"2025-11-06 15:13:20.967852";;
498ef702822b437a97afb96bcc6fcdc6;ISO_50001;"Certificazione ISO 50001";"Certificazione sistema gestione energia ISO 50001";CERTIFICATION;0;1;1095;1;100;90;"2025-11-04 18:49:57.318517";"2025-11-04 18:49:57.318532";;NULL
5a5227f0955743acb22b15a4ad79645c;DURC;"DURC (Documento Unico di Regolarità Contributiva)";"Documento che attesta la regolarità contributiva INPS e INAIL";LEGAL;1;1;120;1;100;30;"2025-11-04 18:49:57.171594";"2025-11-04 18:49:57.171622";;NULL
5b20f96b0eb441e4a731a889a08101d1;ATTREZZA;"Elenco Attrezzature";"Elenco delle attrezzature disponibili";TECHNICAL;0;1;365;1;100;60;"2025-11-04 18:49:57.343080";"2025-11-04 18:49:57.343098";;NULL
70f41e8635cf484a9e7d65fac81283f2;ORG_TECN;"Organigramma Tecnico";"Organigramma del personale tecnico";TECHNICAL;0;1;365;1;100;60;"2025-11-04 18:49:57.335262";"2025-11-04 18:49:57.335277";;NULL
81b0672256ed41279d528a8ddcd97016;INF_INAIL;"Copertura INAIL";"Certificazione copertura assicurativa INAIL";INSURANCE;1;1;365;1;100;45;"2025-11-04 18:49:57.260644";"2025-11-04 18:49:57.260661";;NULL
9d3e25bc4b464e5b8fcbd90f92fb94ed;CASELLARIO;"Certificato Casellario Giudiziale";"Certificato del casellario giudiziale";LEGAL;0;1;180;1;100;30;"2025-11-04 18:49:57.205199";"2025-11-04 18:49:57.205222";;NULL
b27a9c99f1e4407ab20b591f83240600;ISO_9001;"Certificazione ISO 9001";"Certificazione sistema gestione qualità ISO 9001";CERTIFICATION;0;1;1095;1;100;90;"2025-11-04 18:49:57.294925";"2025-11-04 18:49:57.294942";;NULL
b3a23d7d2eda4f779fa0babfd477acf7;CERT_BANC;"Certificazione Bancaria";"Certificazione della situazione bancaria";FINANCIAL;0;1;180;1;100;30;"2025-11-04 18:49:57.237554";"2025-11-04 18:49:57.237576";;NULL
c210fad127e14be18b27dab1e2c54184;DUVRI;DUVRI;"Documento Unico di Valutazione dei Rischi da Interferenze";SAFETY;0;1;365;1;100;60;"2025-11-04 18:49:57.274511";"2025-11-04 18:49:57.274532";;NULL
cb711a0e164e4ef68eba8af376215cfd;VISURA_CAM;"Visura Camerale";"Certificato della Camera di Commercio";LEGAL;1;1;180;1;100;30;"2025-11-04 18:49:57.186949";"2025-11-04 18:49:57.186973";;NULL
cdb4e11014f04a2aa8b0276e3bcdbc70;ATTO_COST;"Atto Costitutivo";"Atto costitutivo della società";LEGAL;1;0;NULL;1;100;0;"2025-11-04 18:49:57.222311";"2025-11-04 18:49:57.222333";;NULL
cdc5b2d6b2bc446bbe6d92a01c6bc97f;FORM_LAVORAT;"Attestati Formazione Lavoratori";"Attestati di formazione dei lavoratori sulla sicurezza";SAFETY;1;1;1825;1;100;90;"2025-11-04 18:49:57.288073";"2025-11-04 18:49:57.288091";;NULL
d91ced1c2b614790a95ac522efac02ce;STAT_SOC;"Statuto Societario";"Statuto della società";LEGAL;1;0;NULL;1;100;0;"2025-11-04 18:49:57.213684";"2025-11-04 18:49:57.213706";;NULL
